ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_2,2014,88.85,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_3,2014,87.11,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_4,2014,80.94,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_5,2014,57.67,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_6,2014,37.15,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_7,2014,42.47,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_8,2014,59.16,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_9,2014,37.45,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_0,2014,67.62,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_M,OCU_ISCO08_X,2014,63.65,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_TOTAL,2014,49.77,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_1,2014,120.18,U,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_2,2014,75.04,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_3,2014,78.2,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_4,2014,73.36,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_5,2014,34.76,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_6,2014,45.64,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_7,2014,18.68,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_8,2014,,U,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_9,2014,55.43,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_0,2014,0,,,T30:110,R1:3513
AFG,SDG_0851_SEX_OCU_NB,BB:6361,SEX_F,OCU_ISCO08_X,2014,47.7,U,,T30:110,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_TOTAL,2021,553.03,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L3-4,2021,1045.9,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L2,2021,316.49,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L1,2021,204.51,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_X,2021,796.31,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_TOTAL,2021,574.06,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L3-4,2021,1020.48,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L2,2021,322.43,,,T30:2,R1:3513
