ref_area,indicator,source,sex,time,obs_value,obs_status,note_indicator,note_source
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2016,10.91,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2016,12.6,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2016,9.11,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2015,11.04,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2015,12.97,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2015,9.01,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2014,10.76,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2014,12.64,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2014,8.8,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2013,10.34,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2013,11.96,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2013,8.65,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2012,10.16,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2012,11.93,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2012,8.32,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2011,10.56,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2011,12.53,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2011,8.52,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2010,10.79,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2010,12.64,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2010,8.88,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2009,11.73,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2009,13.3,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2009,10.1,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2008,10.37,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2008,11.48,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2008,9.21,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2007,10.71,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2007,12.18,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2007,9.18,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2006,11.22,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2006,12.95,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2006,9.43,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2005,11.84,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2005,13.49,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2005,10.14,,,R1:3513
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2004,9.64,B,I11:264,R1:2384_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2004,9.79,B,I11:264,R1:2384_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2004,9.49,B,I11:264,R1:2384_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_T,2003,,U,,R1:2384_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_M,2003,,U,,R1:2384_T3:2479
AUT,SDG_0861_SEX_RT,BA:103,SEX_F,2003,,U,,R1:2384_T3:2479
AZE,SDG_0861_SEX_RT,BA:125,SEX_T,2010,9.64,,,S3:24_S5:38_T3:2479
