ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_Y15-24,2004,57.337,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE25,2004,12.621,B,,I11:264,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_T,AGE_YTHADULT_YGE15,2014,9.579,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_T,AGE_YTHADULT_Y15-24,2014,17.332,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_T,AGE_YTHADULT_YGE25,2014,7.582,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_M,AGE_YTHADULT_YGE15,2014,9.963,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_M,AGE_YTHADULT_Y15-24,2014,17.87,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_M,AGE_YTHADULT_YGE25,2014,8.034,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_F,AGE_YTHADULT_YGE15,2014,9.103,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_F,AGE_YTHADULT_Y15-24,2014,16.724,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,AA:835,SEX_F,AGE_YTHADULT_YGE25,2014,7.008,,,,R1:3513
AIA,SDG_0852_SEX_AGE_RT,BA:840,SEX_T,AGE_YTHADULT_YGE15,2002,7.8,,,,S3:18
AIA,SDG_0852_SEX_AGE_RT,BA:840,SEX_M,AGE_YTHADULT_YGE15,2002,6.35,,,,S3:18
AIA,SDG_0852_SEX_AGE_RT,BA:840,SEX_F,AGE_YTHADULT_YGE15,2002,9.5,,,,S3:18
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_T,AGE_YTHADULT_YGE15,2001,6.56,,,,S3:16
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_T,AGE_YTHADULT_Y15-24,2001,13.33,,,,S3:16
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_T,AGE_YTHADULT_YGE25,2001,5.03,,,,S3:16
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_M,AGE_YTHADULT_YGE15,2001,6.46,,,,S3:16
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_M,AGE_YTHADULT_Y15-24,2001,10.33,,,,S3:16
AIA,SDG_0852_SEX_AGE_RT,AA:839,SEX_M,AGE_YTHADULT_YGE25,2001,5.61,,,,S3:16
